,ID_ENTIDAD,ENTIDAD,PUNTAJE_PROMEDIO,ERRORESTANDARPROMEDIO,DESVIACION,PORCENTAJE_INSUFICIENTE,PORCENTAJE_MINIMO,PORCENTAJE_SATISFACTORIO,PORCENTAJE_AVANZADO,N,ano,grado,area
159,147,Magdalena,264,"0,612",68,35,47,13,5,11637,2012,Grado5,Ciencias
160,115,Boyacá,319,"0,663",73,13,47,25,15,11111,2012,Grado5,Ciencias
161,120,Cesar,285,"0,561",69,24,51,17,8,9599,2012,Grado5,Ciencias
162,154,Norte de Santander,307,"0,663",71,16,49,23,12,11350,2012,Grado5,Ciencias
163,168,Santander,323,"0,663",74,13,45,26,17,16583,2012,Grado5,Ciencias
164,20,Manizales,328,"1,173",73,11,44,29,17,2385,2012,Grado5,Ciencias
165,47,Villavicencio,320,"1,02",71,11,48,27,14,4079,2012,Grado5,Ciencias
166,85,Sabaneta,341,"3,418",76,9,39,30,22,392,2012,Grado5,Ciencias
167,1,Amazonas,250,"2,092",68,38,47,12,3,716,2012,Grado5,Ciencias
168,38,Guainía,276,"3,112",59,27,55,13,5,338,2012,Grado5,Ciencias
169,28,Valledupar,291,"0,918",69,22,50,18,9,3762,2012,Grado5,Ciencias
170,87,Mosquera,348,"2,041",72,6,40,32,22,896,2012,Grado5,Ciencias
171,176,Valle del Cauca,306,"0,408",73,17,48,24,11,26222,2012,Grado5,Ciencias
172,113,Bolívar,262,"0,459",66,37,45,13,6,17463,2012,Grado5,Ciencias
173,127,Chocó,240,"1,173",67,47,42,9,2,3808,2012,Grado5,Ciencias
174,76,Tuluá,321,"1,735",75,13,46,25,16,1431,2012,Grado5,Ciencias
175,10,Soledad,300,"0,918",67,19,50,21,10,3921,2012,Grado5,Ciencias
176,7,Turbo,238,"1,531",64,45,47,7,2,1556,2012,Grado5,Ciencias
177,166,Risaralda,316,"0,714",71,13,48,26,13,7343,2012,Grado5,Ciencias
178,123,Córdoba,270,"0,561",67,31,51,14,5,15939,2012,Grado5,Ciencias
179,170,Sucre,269,"0,612",66,32,48,14,6,8130,2012,Grado5,Ciencias
180,125,Cundinamarca,323,"0,459",72,12,46,27,15,21537,2012,Grado5,Ciencias
181,173,Tolima,303,"0,561",73,18,49,22,11,12073,2012,Grado5,Ciencias
182,144,La Guajira,256,"0,765",66,37,48,11,4,5646,2012,Grado5,Ciencias
183,185,Casanare,303,"0,816",71,16,52,23,9,3736,2012,Grado5,Ciencias
184,59,San Andrés,258,"2,704",68,39,45,11,5,470,2012,Grado5,Ciencias
185,92,Malambo,290,"2,347",70,26,46,17,11,930,2012,Grado5,Ciencias
186,71,Cali,312,"0,561",72,15,47,25,12,11110,2012,Grado5,Ciencias
187,64,Floridablanca,340,"1,531",73,8,41,29,22,1744,2012,Grado5,Ciencias
188,123,Córdoba,276,"0,306",60,25,59,12,5,20758,2014,Grado5,Ciencias
189,117,Caldas,316,"0,51",70,11,53,23,13,8778,2014,Grado5,Ciencias
190,170,Sucre,280,"0,51",60,23,57,13,6,10761,2014,Grado5,Ciencias
191,125,Cundinamarca,331,"0,459",72,8,48,26,18,28325,2014,Grado5,Ciencias
192,173,Tolima,312,"0,459",69,13,54,21,13,14720,2014,Grado5,Ciencias
193,144,La Guajira,270,"0,459",59,29,55,11,5,9257,2014,Grado5,Ciencias
194,185,Casanare,309,"0,816",69,12,56,22,10,4951,2014,Grado5,Ciencias
195,176,Valle del Cauca,310,"0,255",69,14,54,21,12,34680,2014,Grado5,Ciencias
196,118,Caquetá,290,"0,612",64,18,59,17,7,5262,2014,Grado5,Ciencias
197,105,Antioquia,303,"0,255",67,16,54,19,11,61336,2014,Grado5,Ciencias
198,113,Bolívar,276,"0,408",61,26,55,13,6,22879,2014,Grado5,Ciencias
199,127,Chocó,264,"0,765",57,31,56,10,4,4859,2014,Grado5,Ciencias
200,76,Tuluá,326,"1,276",73,10,49,25,17,1911,2014,Grado5,Ciencias
201,10,Soledad,304,"0,714",66,15,55,20,11,4993,2014,Grado5,Ciencias
202,7,Turbo,256,"0,867",56,33,58,7,2,2058,2014,Grado5,Ciencias
203,59,San Andrés,293,"1,888",65,20,56,16,9,525,2014,Grado5,Ciencias
204,20,Manizales,332,"0,918",72,8,47,27,18,3179,2014,Grado5,Ciencias
205,47,Villavicencio,319,"0,663",72,11,52,23,14,5579,2014,Grado5,Ciencias
206,85,Sabaneta,346,"2,602",77,8,43,26,24,499,2014,Grado5,Ciencias
207,1,Amazonas,267,"1,735",59,28,58,10,4,946,2014,Grado5,Ciencias
208,38,Guainía,272,"2,194",57,24,61,12,4,479,2014,Grado5,Ciencias
209,49,Pasto,337,"0,816",70,6,47,29,18,3904,2014,Grado5,Ciencias
210,87,Mosquera,350,"1,888",75,5,42,28,24,1256,2014,Grado5,Ciencias
211,52,Cúcuta,313,"0,561",69,12,54,21,13,7332,2014,Grado5,Ciencias
